Feature,Relative_Importance,Scaled_Importance,Percentage
18792,0.002881792231792232,0.0602925945306402,0.002881792231792232
22356,0.002998094378185303,0.06272585744188056,0.002998094378185303
18756,0.00327109846701507,0.0684376241166013,0.00327109846701507
17987,0.003455485027161933,0.0722953429296333,0.003455485027161933
19227,0.004711301411884861,0.09856941892085931,0.004711301411884861
22326,0.004952903682309662,0.10362419961174392,0.004952903682309662
18080,0.005637048889732214,0.1179378233130457,0.005637048889732214
14327,0.005693892476714368,0.11912709966120588,0.005693892476714368
17738,0.00578099263654122,0.12094940126992677,0.00578099263654122
14359,0.006001942711365715,0.12557209860596022,0.006001942711365715
18852,0.006342808446359006,0.13270366045924406,0.006342808446359006
20072,0.006514351283846433,0.13629266407691035,0.006514351283846433
15474,0.006543682754953682,0.1369063344432007,0.006543682754953682
15413,0.006836727981865115,0.14303739998303738,0.006836727981865115
13212,0.008422686032348567,0.17621866982806533,0.008422686032348567
15786,0.008434728240884379,0.17647061581795773,0.008434728240884379
9957,0.008451924458453853,0.17683039351530136,0.008451924458453853
17705,0.008474980873255733,0.17731277772525375,0.008474980873255733
13158,0.008522266953251619,0.1783020927829747,0.008522266953251619
12781,0.008589528939303306,0.1797093419273094,0.008589528939303306
18788,0.008607765538077499,0.18009088638543522,0.008607765538077499
13211,0.008630546241645769,0.18056750219007642,0.008630546241645769
16933,0.008875778859202455,0.18569823667291502,0.008875778859202455
13368,0.009150155193424148,0.19143871334070856,0.009150155193424148
20437,0.00916342989311298,0.19171644539821953,0.00916342989311298
15505,0.00920058878288789,0.1924938803047652,0.00920058878288789
17706,0.009209635909326311,0.19268316345988004,0.009209635909326311
14358,0.00940666493795581,0.1968053868467258,0.00940666493795581
27875,0.009503417105762288,0.19882962688705946,0.009503417105762288
19935,0.009594980412573909,0.20074530605038496,0.009594980412573909
11979,0.00963046142613819,0.20148763658371316,0.00963046142613819
23504,0.009752572125938781,0.20404242552016297,0.009752572125938781
17649,0.009873432615869404,0.20657105767961245,0.009873432615869404
15444,0.01057704551194818,0.22129198258939467,0.01057704551194818
15849,0.011203526091883383,0.2343991522078867,0.011203526091883383
14328,0.011473966691334676,0.24005728579137525,0.011473966691334676
14614,0.011675402023615344,0.24427169746177868,0.011675402023615344
17863,0.011678762472526569,0.24434200446774884,0.011678762472526569
21278,0.012657086315817957,0.264810406787836,0.012657086315817957
12034,0.014021277298014388,0.2933518862340389,0.014021277298014388
13127,0.014030994420971466,0.2935551869952777,0.014030994420971466
19104,0.014591347355725169,0.3052788400457781,0.014591347355725169
18925,0.014691248142323914,0.3073689552016317,0.014691248142323914
16748,0.014791581744612814,0.3094681256879235,0.014791581744612814
18018,0.01584813049768033,0.3315731424437414,0.01584813049768033
17957,0.01630018874507381,0.34103106391137483,0.01630018874507381
13367,0.01679288602154204,0.3513392314429304,0.01679288602154204
20071,0.017264679420978934,0.361210049963664,0.017264679420978934
14615,0.0174814206484456,0.36574469017872,0.0174814206484456
20131,0.018138858593792277,0.3794995469760098,0.018138858593792277
15445,0.01859374456857018,0.3890166298983627,0.01859374456857018
22357,0.019751217851101874,0.41323318046499774,0.019751217851101874
17926,0.019898467666722534,0.41631392769236,0.019898467666722534
22304,0.020541063407695667,0.42975825724193134,0.020541063407695667
12252,0.020673495680156403,0.4325289931812397,0.020673495680156403
16560,0.02097640774013115,0.4388664917035187,0.02097640774013115
13928,0.02110342558454984,0.4415239474726077,0.02110342558454984
16591,0.021167262517586688,0.44285953796980204,0.021167262517586688
15351,0.022518353097958375,0.4711269320025272,0.022518353097958375
13336,0.02423627255617755,0.5070690863979845,0.02423627255617755
13468,0.02443826127457317,0.5112950759622692,0.02443826127457317
9925,0.02465699940333929,0.5158714951643866,0.02465699940333929
9720,0.025568157846547666,0.5349346691029763,0.025568157846547666
17895,0.025635415766796617,0.5363418331829566,0.025635415766796617
19073,0.027097510158930315,0.5669316388524708,0.027097510158930315
11105,0.027271035554344868,0.5705621213664693,0.027271035554344868
16779,0.02901972511910446,0.6071480451276842,0.02901972511910446
6424,0.03510737902427375,0.7345133855217667,0.03510737902427375
13181,0.03761295037172335,0.7869347209854332,0.03761295037172335
9689,0.0477967858942897,1.0,0.0477967858942897
