Feature,Relative_Importance,Scaled_Importance,Percentage
16748,0.0013382771285250783,0.002233628843641157,0.00012502710197445839
17987,0.004815557040274143,0.00803732416409895,0.00044988823936767587
18756,0.004965714644640684,0.008287942178153188,0.0004639165521238436
16560,0.005093338433653116,0.008500950508189518,0.0004758396674062588
17738,0.00813213735818863,0.01357280654098957,0.0007597361899721799
13468,0.014295072294771671,0.02385894903152658,0.0013355017607604436
18852,0.017445707693696022,0.029117463843470047,0.0016298464857127325
22357,0.023555152118206024,0.039314328898055396,0.0022006147629172732
16933,0.030996069312095642,0.05173346609554642,0.0028957744521583527
19104,0.031101981177926064,0.05191023650681646,0.002905669154359592
19227,0.031448010355234146,0.052487770662263455,0.0029379965582397704
15505,0.03510987386107445,0.05859954211361913,0.003280102219468415
13127,0.036417435854673386,0.060781906379957854,0.003402259792983695
18080,0.03723593428730965,0.06214800736804417,0.0034787271290995948
18792,0.043057333678007126,0.07186411572278191,0.0040225851086923056
13212,0.05778238922357559,0.09644072103848993,0.0053982575923910755
12781,0.06489276140928268,0.1083081676715522,0.0060625364696057765
11979,0.06715914607048035,0.11209083872087076,0.00627427102002823
17706,0.07194721698760986,0.12008228763525715,0.006721591397890962
17926,0.07731733471155167,0.1290451919442956,0.007223288872931937
15445,0.07771462947130203,0.1297082900544635,0.0072604057087370675
17863,0.08397141098976135,0.14015106559781745,0.007844938795544328
14359,0.08908113092184067,0.1486793573693424,0.008322308886829595
16591,0.09611890465021133,0.16042563477306188,0.008979805331216954
23504,0.09930326789617538,0.1657404424785892,0.009277301044018717
13368,0.09947234392166138,0.1660226359639624,0.00929309678992911
14327,0.10096493363380432,0.16851381761961756,0.009432540379129347
18788,0.10383914411067963,0.17331097008303872,0.009701060402918734
22304,0.11075747013092041,0.18485788530646016,0.01034739757359017
17705,0.11183542013168335,0.18665701955331132,0.010448103893526527
13367,0.12415440380573273,0.20721781124002778,0.011598991699353807
17649,0.12909002602100372,0.21545552815707272,0.012060096898615624
14614,0.13684268295764923,0.22839496930827194,0.012784380538177806
22326,0.1369316130876541,0.22854339664011059,0.012792688739966307
14358,0.13987180590629578,0.23345067581689996,0.01306737309309877
15413,0.15005874633789062,0.25045301673080445,0.0140190770511216
13928,0.15028995275497437,0.25083890789715974,0.01404067726207173
14328,0.15045759081840515,0.2511187013762457,0.014056338667923043
27875,0.1507246047258377,0.25156435642973374,0.014081284155163016
19073,0.15445572137832642,0.25779171367611625,0.014429859717164458
13211,0.15833143889904022,0.2642604145599254,0.014791944459822003
15444,0.1592397689819336,0.2657764475470046,0.014876804221286758
15474,0.1653183549642563,0.27592180883972306,0.015444689581705313
17957,0.16570332646369934,0.2765643390203617,0.015480655130164752
15849,0.1664322018623352,0.2777808561968958,0.015548749530681298
16779,0.16864633560180664,0.28147631872759976,0.015755602594915517
20071,0.16923503577709198,0.28245887881455506,0.015810601275890436
19935,0.16926434636116028,0.28250779914996504,0.015813339585695727
9957,0.1724105328321457,0.2877588885538552,0.016107268674338288
13158,0.19169437885284424,0.31994426613378735,0.017908841257101328
22356,0.1918679028749466,0.3202338834728056,0.017925052552313643
12034,0.19316409528255463,0.32239727152362946,0.018046147934480963
9925,0.22051091492176056,0.36804001907271316,0.020600995159193173
12252,0.22288767993450165,0.37200691858392765,0.02082304187529061
17895,0.23457011580467224,0.39150529090712477,0.021914460886881766
21278,0.24959136545658112,0.4165762539945804,0.02331780498653236
20437,0.251321941614151,0.4194646429084117,0.023479482203541603
20131,0.25939062237739563,0.4329315382911179,0.0242332900293522
13181,0.2618180811405182,0.436983047350408,0.024460072754579076
20072,0.26229965686798096,0.43778681318659457,0.024505063449183764
13336,0.26654043793678284,0.4448648172209927,0.024901253861348095
14615,0.2888898551464081,0.482166734629539,0.026989224136695415
18018,0.30143460631370544,0.5031043397386227,0.02816120402786076
15786,0.30267879366874695,0.5051809296346012,0.028277440893901763
18925,0.32031673192977905,0.534619232660539,0.029925246313704197
11105,0.33479833602905273,0.5587895094506528,0.03127817460776321
6424,0.33892539143562317,0.565677701588839,0.03166374032219801
9689,0.41056913137435913,0.6852534759800905,0.03835697970306071
9720,0.4468533396720886,0.7458130211557694,0.04174679285476751
15351,0.5991492867469788,1.0,0.05597487797956847
