id,component,reshape_cube,number of features,CV Accuracy (Training),CV Std (Training),Accuracy (Test),F1 Score (Test),Precision Score (Test)
tpot_20230410_180435,1,1,184,0.8472727272727273,0.14797810872273312,0.9285714285714286,0.9282051282051282,0.9375
tpot_20230410_181806,1,1,209,0.8127272727272729,0.10501475693231747,0.8571428571428571,0.8541666666666667,0.888888888888889
tpot_20230410_183507,2,1,9,0.8527272727272728,0.04240692287160215,0.7857142857142857,0.7846153846153846,0.7916666666666667
tpot_20230410_184730,2,1,34,0.8163636363636364,0.09797958971132713,0.8571428571428571,0.8571428571428571,0.8571428571428571
tpot_20230410_190340,2,1,59,0.8345454545454546,0.06615783781330999,0.8571428571428571,0.8571428571428571,0.8571428571428571
tpot_20230410_191920,2,1,84,0.850909090909091,0.04796693075735603,0.8571428571428571,0.8571428571428571,0.8571428571428571
tpot_20230410_193359,2,1,109,0.8527272727272728,0.07144320983413999,0.8571428571428571,0.8571428571428571,0.8571428571428571
tpot_20230410_194608,2,1,134,0.8545454545454547,0.07272727272727271,1.0,1.0,1.0
tpot_20230410_200118,2,1,159,0.8527272727272728,0.04240692287160215,0.9285714285714286,0.9282051282051282,0.9375
tpot_20230410_201801,2,1,184,0.8709090909090909,0.04317942577104694,1.0,1.0,1.0
tpot_20230410_203220,2,1,209,0.889090909090909,0.035628941713209836,0.9285714285714286,0.9282051282051282,0.9375
tpot_20230410_205846,3,1,9,0.6272727272727273,0.13606026860996154,0.6428571428571429,0.6256684491978609,0.6749999999999999
tpot_20230410_212033,3,1,34,0.7563636363636363,0.14344060307866197,0.9285714285714286,0.9282051282051282,0.9375
tpot_20230410_214024,3,1,59,0.9236363636363636,0.07398905436136655,0.9285714285714286,0.9282051282051282,0.9375
tpot_20230410_220104,3,1,84,0.8690909090909091,0.11113241301771726,1.0,1.0,1.0
tpot_20230410_221409,3,1,109,0.8872727272727273,0.07217975724101527,1.0,1.0,1.0
tpot_20230410_223437,3,1,134,0.8872727272727273,0.10872666463800765,0.8571428571428571,0.8571428571428571,0.8571428571428571
tpot_20230410_225633,3,1,159,0.9618181818181819,0.04685126809718228,0.9285714285714286,0.9282051282051282,0.9375
tpot_20230410_231934,3,1,184,0.9818181818181818,0.036363636363636376,1.0,1.0,1.0
tpot_20230410_234005,3,1,209,1.0,0.0,1.0,1.0,1.0
tpot_20230411_001646,4,1,9,0.7781818181818181,0.17754989986521752,0.7857142857142857,0.7846153846153846,0.7916666666666667
tpot_20230411_003551,4,1,34,0.9072727272727275,0.0996522880439616,0.8571428571428571,0.8541666666666667,0.888888888888889
tpot_20230411_005304,4,1,59,0.9618181818181819,0.04685126809718228,0.8571428571428571,0.8541666666666667,0.888888888888889
tpot_20230411_010855,4,1,84,0.96,0.07999999999999999,0.9285714285714286,0.9282051282051282,0.9375
tpot_20230411_012610,4,1,109,1.0,0.0,1.0,1.0,1.0
tpot_20230411_014252,4,1,134,0.9800000000000001,0.039999999999999994,1.0,1.0,1.0
tpot_20230411_020059,4,1,159,0.9254545454545455,0.03743865505813455,1.0,1.0,1.0
tpot_20230411_021829,4,1,184,0.9618181818181819,0.04685126809718228,1.0,1.0,1.0
tpot_20230411_023521,4,1,209,0.9618181818181819,0.04685126809718228,1.0,1.0,1.0
