id,component,resample_cube,number_of_features,CV_Accuracy_(Training),CV_Std_(Training),Accuracy_(Test),F1_Score_(Test),Precision_Score_(Test)
h2o_20230428_170740,1,7,210,0.75,0.1976,0.6667,0.6625,0.6753
h2o_20230429_170626,1,7,10,0.8889,0.1587,0.6667,0.6625,0.6753
h2o_20230429_171214,1,7,30,0.8611,0.1705,0.7222,0.7214,0.725
h2o_20230429_172144,1,7,50,0.8611,0.1705,0.7222,0.7214,0.725
h2o_20230429_173525,1,7,70,0.8472,0.1366,0.7222,0.7214,0.725
h2o_20230429_175304,1,7,90,0.7917,0.1768,0.7222,0.7143,0.75
h2o_20230429_181428,1,7,110,0.8194,0.1545,0.6667,0.6625,0.6753
h2o_20230429_184028,1,7,130,0.7778,0.2052,0.7222,0.7214,0.725
h2o_20230429_190854,1,7,150,0.7778,0.1954,0.6111,0.6,0.625
h2o_20230429_194121,1,7,170,0.8056,0.1987,0.6111,0.6,0.625
h2o_20230429_201910,1,7,190,0.7917,0.2253,0.6667,0.6625,0.6753
h2o_20230429_210151,1,7,210,0.75,0.1976,0.6667,0.6625,0.6753
h2o_20230428_171133,1,9,10,0.7639,0.2292,0.5556,0.4462,0.7647
h2o_20230428_171704,1,9,30,0.7639,0.1921,0.6111,0.6,0.625
h2o_20230428_172547,1,9,50,0.7361,0.2205,0.7222,0.7143,0.75
h2o_20230428_173745,1,9,70,0.75,0.2339,0.7778,0.775,0.7922
h2o_20230428_175308,1,9,90,0.7778,0.278,0.8333,0.8328,0.8375
h2o_20230428_181149,1,9,110,0.7778,0.2849,0.4444,0.4156,0.4308
h2o_20230428_183626,1,9,130,0.75,0.2997,0.6111,0.5418,0.7812
h2o_20230428_190458,1,9,150,0.7361,0.261,0.5556,0.55,0.5584
h2o_20230428_193708,1,9,170,0.7639,0.2684,0.6667,0.6625,0.6753
h2o_20230428_201242,1,9,190,0.75,0.2421,0.6667,0.6667,0.6667
h2o_20230428_205040,1,9,210,0.7222,0.2483,0.6667,0.6667,0.6667
h2o_20230429_210551,1,9,10,0.7639,0.2292,0.5556,0.4462,0.7647
