id,component,resample_cube,number_of_features,CV_Accuracy_(Training),CV_Std_(Training),Accuracy_(Test),F1_Score_(Test),Precision_Score_(Test)
tpot_20230502_061049,1,4,250,0.8194,0.1195,0.7778,0.7662,0.8462
tpot_20230502_063740,1,4,270,0.8056,0.1457,0.6667,0.6667,0.6667
tpot_20230502_065918,1,4,290,0.8333,0.1318,0.5556,0.55,0.5584
tpot_20230502_071812,1,4,310,0.7917,0.1443,0.6111,0.6099,0.6125
tpot_20230502_142236,1,1,230,0.8194,0.1039,0.7778,0.775,0.7922
tpot_20230502_145247,1,1,250,0.8472,0.1145,0.6667,0.6625,0.6753
tpot_20230502_154043,1,1,270,0.8333,0.1179,0.6111,0.6099,0.6125
tpot_20230502_155918,1,1,290,0.8333,0.1179,0.7778,0.775,0.7922
tpot_20230502_161931,1,1,310,0.8333,0.1318,0.8333,0.8328,0.8375
tpot_20230502_165824,1,5,230,0.8056,0.1874,0.6667,0.6625,0.6753
tpot_20230502_172352,1,5,250,0.8194,0.1779,0.6111,0.6,0.625
tpot_20230502_174749,1,5,270,0.8056,0.1195,0.7778,0.7662,0.8462
tpot_20230502_191850,1,5,290,0.8056,0.1195,0.7778,0.775,0.7922
tpot_20230502_195259,1,5,310,0.8056,0.1332,0.6111,0.5786,0.6607
tpot_20230502_232825,1,1,330,0.8056,0.1457,0.6667,0.6625,0.6753
tpot_20230503_000621,1,1,350,0.8194,0.1332,0.6667,0.6625,0.6753
tpot_20230503_014210,1,2,330,0.8889,0.0708,0.9444,0.9443,0.95
tpot_20230503_023354,1,2,350,0.9028,0.0786,0.8889,0.8875,0.9091
tpot_20230503_032257,1,3,330,0.8889,0.0708,0.7778,0.7662,0.8462
tpot_20230503_040807,1,3,350,0.9028,0.0786,0.9444,0.9443,0.95
tpot_20230503_051404,1,4,330,0.7917,0.1021,0.6111,0.6,0.625
tpot_20230503_060155,1,4,350,0.8056,0.1332,0.6667,0.6494,0.7077
tpot_20230503_064344,1,5,330,0.7639,0.1094,0.5556,0.5,0.6
tpot_20230503_075119,1,5,350,0.7917,0.1559,0.7778,0.7778,0.7778
tpot_20230503_231418,1,1,370,0.8056,0.1457,0.6667,0.6625,0.6753
tpot_20230503_233209,1,1,390,0.8194,0.1039,0.7778,0.7778,0.7778
tpot_20230503_235522,1,1,410,0.8056,0.1195,0.7222,0.7214,0.725
tpot_20230504_002700,1,2,370,0.9028,0.0786,0.9444,0.9443,0.95
tpot_20230504_014912,1,2,390,0.8889,0.0921,0.7222,0.699,0.8214
tpot_20230504_030214,1,2,410,0.8889,0.1242,0.8889,0.8875,0.9091
tpot_20230504_032800,1,3,370,0.875,0.1021,0.8889,0.8889,0.8889
tpot_20230504_050941,1,3,390,0.875,0.0833,0.7778,0.775,0.7922
tpot_20230504_054058,1,3,410,0.8472,0.1145,0.7778,0.775,0.7922
tpot_20230504_074654,1,4,370,0.8194,0.1039,0.7222,0.7214,0.725
tpot_20230504_092547,1,4,390,0.8472,0.0982,0.8333,0.8328,0.8375
tpot_20230504_112945,1,4,410,0.8056,0.1332,0.7222,0.699,0.8214
tpot_20230504_122347,1,5,370,0.7778,0.1145,0.5556,0.5325,0.5692
tpot_20230504_132906,1,5,390,0.7917,0.1021,0.6111,0.5786,0.6607
tpot_20230504_142636,1,5,410,0.7778,0.1416,0.5556,0.5556,0.5556
