id,component,resample_cube,number_of_features,CV_Accuracy_(Training),CV_Std_(Training),Accuracy_(Test),F1_Score_(Test),Precision_Score_(Test)
tpot_20230424_012855,1,3,90,0.8889,0.0921,0.5556,0.5556,0.5556
tpot_20230424_014009,1,3,100,0.875,0.0833,0.8333,0.8328,0.8375
tpot_20230424_015354,1,4,10,0.7917,0.1179,0.6111,0.6099,0.6125
tpot_20230424_020055,1,4,20,0.7917,0.1179,0.7222,0.7214,0.725
tpot_20230424_021114,1,4,30,0.8333,0.1179,0.7778,0.775,0.7922
tpot_20230424_022500,1,4,40,0.8333,0.1179,0.8333,0.8328,0.8375
tpot_20230424_023402,1,4,50,0.8472,0.0786,0.7222,0.7143,0.75
tpot_20230424_024759,1,4,60,0.9028,0.0982,0.7778,0.775,0.7922
tpot_20230424_025711,1,4,70,0.8472,0.0786,0.6667,0.625,0.8
tpot_20230424_030341,1,4,80,0.8472,0.0982,0.7222,0.7214,0.725
tpot_20230424_032913,1,4,90,0.875,0.1318,0.7778,0.775,0.7922
tpot_20230424_034550,1,4,100,0.8611,0.1242,0.6111,0.6,0.625
tpot_20230424_035847,1,5,10,0.8333,0.1179,0.6667,0.6625,0.6753
tpot_20230424_040721,1,5,20,0.8611,0.1094,0.6667,0.6625,0.6753
tpot_20230424_041312,1,5,30,0.8333,0.1559,0.8889,0.8889,0.8889
tpot_20230424_042605,1,5,40,0.8472,0.0786,0.6667,0.6494,0.7077
tpot_20230424_044331,1,5,50,0.8611,0.1094,0.6667,0.6494,0.7077
tpot_20230424_045059,1,5,60,0.8472,0.1288,0.6667,0.6625,0.6753
tpot_20230424_050108,1,5,70,0.8472,0.1145,0.5,0.4857,0.5
tpot_20230424_051247,1,5,80,0.8889,0.1094,0.6667,0.6625,0.6753
tpot_20230424_053634,1,5,90,0.8472,0.1534,0.6111,0.5786,0.6607
tpot_20230424_054641,1,5,100,0.8472,0.1643,0.6667,0.6625,0.6753
tpot_20230424_055654,1,6,10,0.8472,0.1534,0.6111,0.6,0.625
tpot_20230424_060444,1,6,20,0.8056,0.1195,0.7778,0.7778,0.7778
tpot_20230424_061454,1,6,30,0.8889,0.0921,0.9444,0.9443,0.95
tpot_20230424_062807,1,6,40,0.8889,0.0708,0.6667,0.6667,0.6667
tpot_20230424_063728,1,6,50,0.8472,0.1145,0.7222,0.7214,0.725
tpot_20230424_064343,1,6,60,0.9028,0.0786,0.5,0.4985,0.5
tpot_20230424_064732,1,6,70,0.8472,0.0982,0.7222,0.7214,0.725
tpot_20230424_065316,1,6,80,0.8611,0.1094,0.8333,0.8328,0.8375
tpot_20230424_070445,1,6,90,0.9028,0.0786,0.6111,0.6099,0.6125
tpot_20230424_071647,1,6,100,0.8333,0.0833,0.5556,0.55,0.5584
tpot_20230424_072647,1,7,10,0.875,0.1021,0.7778,0.775,0.7922
tpot_20230424_073748,1,7,20,0.8611,0.1375,0.7222,0.7143,0.75
tpot_20230424_074612,1,7,30,0.8333,0.1443,0.7222,0.7143,0.75
tpot_20230424_080114,1,7,40,0.8611,0.1496,0.6667,0.6667,0.6667
tpot_20230424_080918,1,7,50,0.8333,0.0833,0.5,0.4857,0.5
tpot_20230424_082257,1,7,60,0.8194,0.1195,0.6111,0.5786,0.6607
tpot_20230424_083020,1,7,70,0.8333,0.1021,0.5556,0.5325,0.5692
tpot_20230424_084051,1,7,80,0.8056,0.1039,0.5556,0.5325,0.5692
tpot_20230424_085049,1,7,90,0.8056,0.0856,0.7222,0.7214,0.725
tpot_20230424_085813,1,7,100,0.7917,0.1021,0.6667,0.6494,0.7077
tpot_20230424_091004,1,8,10,0.7778,0.1643,0.7778,0.7778,0.7778
tpot_20230424_091845,1,8,20,0.7639,0.1712,0.6111,0.6099,0.6125
tpot_20230424_101305,1,8,30,0.8611,0.0921,0.5556,0.55,0.5584
tpot_20230424_101817,1,8,40,0.8472,0.1145,0.4444,0.4375,0.4416
tpot_20230424_102418,1,8,50,0.8472,0.1288,0.5,0.4857,0.5
tpot_20230424_103129,1,8,60,0.8056,0.1779,0.6667,0.6667,0.6667
tpot_20230424_105522,1,8,70,0.8472,0.0786,0.6111,0.5786,0.6607
tpot_20230424_110030,1,8,80,0.7778,0.0982,0.7778,0.775,0.7922
tpot_20230424_111915,1,8,90,0.7917,0.1318,0.5,0.4582,0.5
tpot_20230424_113053,1,8,100,0.8056,0.1457,0.6667,0.625,0.8
tpot_20230424_114726,1,9,10,0.8056,0.1457,0.7222,0.7214,0.725
tpot_20230424_120045,1,9,20,0.8056,0.1678,0.5556,0.5556,0.5556
tpot_20230424_121356,1,9,30,0.7778,0.1746,0.6111,0.6,0.625
tpot_20230424_122339,1,9,40,0.7917,0.1559,0.7778,0.775,0.7922
tpot_20230424_123834,1,9,50,0.7778,0.0982,0.8333,0.8286,0.875
tpot_20230424_124648,1,9,60,0.8056,0.1571,0.7778,0.775,0.7922
tpot_20230424_125700,1,9,70,0.7778,0.1145,0.6111,0.6099,0.6125
tpot_20230424_131615,1,9,80,0.8194,0.1457,0.6111,0.6,0.625
tpot_20230424_133047,1,9,90,0.8194,0.1195,0.7222,0.7214,0.725
tpot_20230424_134620,1,9,100,0.8333,0.1179,0.5,0.4582,0.5
