id,component,reshape_cube,number_of_features,CV_Accuracy_(Training),CV_Std_(Training),Accuracy_(Test),F1_Score_(Test),Precision_Score_(Test)
pycaret_20230421_195228,1,6,50,0.7639,0.1242,0.6666666666666666,0.6625000000000001,0.6753246753246754
pycaret_20230421_201053,1,6,60,0.8194,0.1332,0.6666666666666666,0.6666666666666666,0.6666666666666666
pycaret_20230421_202915,1,6,70,0.8333,0.1559,0.5555555555555556,0.5499999999999999,0.5584415584415584
pycaret_20230421_204743,1,6,80,0.8472,0.1288,0.5,0.49845201238390086,0.5
pycaret_20230421_210650,1,6,90,0.8056,0.1195,0.6111111111111112,0.6099071207430341,0.6124999999999999
pycaret_20230421_212730,1,6,100,0.7639,0.1712,0.5555555555555556,0.5499999999999999,0.5584415584415584
pycaret_20230421_214630,1,6,10,0.7917,0.1443,0.6666666666666666,0.6666666666666666,0.6666666666666666
pycaret_20230421_220519,1,6,20,0.7917,0.1318,0.6111111111111112,0.6099071207430341,0.6124999999999999
pycaret_20230421_222432,1,6,30,0.7917,0.1021,0.6666666666666666,0.6625000000000001,0.6753246753246754
pycaret_20230421_224327,1,6,40,0.7778,0.1416,0.7222222222222222,0.7142857142857143,0.75
pycaret_20230421_230143,1,6,50,0.7639,0.1242,0.6666666666666666,0.6625000000000001,0.6753246753246754
pycaret_20230421_231938,1,6,60,0.8194,0.1332,0.6666666666666666,0.6666666666666666,0.6666666666666666
pycaret_20230421_233729,1,6,70,0.8333,0.1559,0.5555555555555556,0.5499999999999999,0.5584415584415584
pycaret_20230421_235515,1,6,80,0.8472,0.1288,0.5,0.49845201238390086,0.5
pycaret_20230422_001318,1,6,90,0.8056,0.1195,0.6111111111111112,0.6099071207430341,0.6124999999999999
pycaret_20230422_003156,1,6,100,0.7639,0.1712,0.5555555555555556,0.5499999999999999,0.5584415584415584
pycaret_20230422_005022,1,7,10,0.8056,0.1678,0.7222222222222222,0.7213622291021671,0.7250000000000001
pycaret_20230422_010758,1,7,20,0.8056,0.1571,0.6666666666666666,0.6666666666666666,0.6666666666666666
pycaret_20230422_012747,1,7,30,0.7917,0.1443,0.6666666666666666,0.6625000000000001,0.6753246753246754
pycaret_20230422_014545,1,7,40,0.7917,0.1318,0.6666666666666666,0.6625000000000001,0.6753246753246754
pycaret_20230422_020429,1,7,50,0.7917,0.1179,0.6666666666666666,0.6493506493506493,0.7076923076923077
pycaret_20230422_022349,1,7,60,0.7639,0.1094,0.6111111111111112,0.6000000000000001,0.625
pycaret_20230422_024318,1,7,70,0.7639,0.0921,0.6111111111111112,0.5785953177257525,0.6607142857142857
pycaret_20230422_030241,1,7,80,0.7639,0.0921,0.5555555555555556,0.5324675324675324,0.5692307692307692
pycaret_20230422_032157,1,7,90,0.7639,0.0921,0.6666666666666666,0.6493506493506493,0.7076923076923077
pycaret_20230422_033724,1,7,100,0.7361,0.1094,0.6111111111111112,0.5785953177257525,0.6607142857142857
pycaret_20230422_035254,1,7,10,0.8056,0.1678,0.7222222222222222,0.7213622291021671,0.7250000000000001
pycaret_20230422_040820,1,7,20,0.8056,0.1571,0.6666666666666666,0.6666666666666666,0.6666666666666666
pycaret_20230422_042353,1,7,30,0.7917,0.1443,0.6666666666666666,0.6625000000000001,0.6753246753246754
pycaret_20230422_043921,1,7,40,0.7917,0.1318,0.6666666666666666,0.6625000000000001,0.6753246753246754
pycaret_20230422_045447,1,7,50,0.7917,0.1179,0.6666666666666666,0.6493506493506493,0.7076923076923077
pycaret_20230422_051017,1,7,60,0.7639,0.1094,0.6111111111111112,0.6000000000000001,0.625
pycaret_20230422_052548,1,7,70,0.7639,0.0921,0.6111111111111112,0.5785953177257525,0.6607142857142857
pycaret_20230422_054117,1,7,80,0.7639,0.0921,0.5555555555555556,0.5324675324675324,0.5692307692307692
pycaret_20230422_055646,1,7,90,0.7639,0.0921,0.6666666666666666,0.6493506493506493,0.7076923076923077
pycaret_20230422_061211,1,7,100,0.7361,0.1094,0.6111111111111112,0.5785953177257525,0.6607142857142857
