id,component,resample_cube,number_of_features,CV_Accuracy_(Training),CV_Std_(Training),Accuracy_(Test),F1_Score_(Test),Precision_Score_(Test)
h2o_20230430_012313,1,13,70,0.6667,0.1976,0.6111,0.6099,0.6125
h2o_20230430_013746,1,13,90,0.7361,0.1816,0.7778,0.7778,0.7778
h2o_20230430_015427,1,13,110,0.625,0.2165,0.6111,0.6,0.625
h2o_20230430_021644,1,13,130,0.5972,0.2708,0.5,0.4582,0.5
h2o_20230430_024313,1,13,150,0.6806,0.243,0.6111,0.6099,0.6125
h2o_20230430_031217,1,13,170,0.625,0.2339,0.5556,0.5,0.6
h2o_20230430_034706,1,13,190,0.625,0.25,0.5,0.4109,0.5
h2o_20230430_042318,1,13,210,0.7361,0.2534,0.7778,0.775,0.7922
h2o_20230430_042700,1,15,10,0.6944,0.2083,0.7222,0.699,0.8214
h2o_20230430_043145,1,15,30,0.6806,0.178,0.4444,0.4444,0.4444
h2o_20230430_043919,1,15,50,0.7778,0.1743,0.5,0.4109,0.5
h2o_20230430_044942,1,15,70,0.7222,0.2403,0.5,0.3333,0.25
h2o_20230430_050332,1,15,90,0.7222,0.2052,0.5,0.3333,0.25
h2o_20230430_052002,1,15,110,0.6806,0.2509,0.6111,0.5786,0.6607
h2o_20230430_054036,1,15,130,0.6944,0.243,0.5556,0.5556,0.5556
h2o_20230430_060437,1,15,150,0.6806,0.2263,0.5,0.4109,0.5
h2o_20230430_063142,1,15,170,0.6806,0.2263,0.5,0.4109,0.5
h2o_20230430_070153,1,15,190,0.6806,0.2263,0.5,0.4109,0.5
h2o_20230430_073535,1,15,210,0.6944,0.243,0.5556,0.5556,0.5556
h2o_20230430_154006,1,2,10,0.7778,0.1852,0.5,0.3333,0.25
h2o_20230430_154621,1,2,30,0.9028,0.1042,0.7778,0.775,0.7922
h2o_20230430_155647,1,2,50,0.8889,0.0977,0.7222,0.7143,0.75
h2o_20230430_160958,1,2,70,0.875,0.0884,0.8889,0.8889,0.8889
h2o_20230430_162745,1,2,90,0.8889,0.0977,0.6667,0.6494,0.7077
h2o_20230430_164949,1,2,110,0.9028,0.1042,0.7778,0.775,0.7922
h2o_20230430_171704,1,2,130,0.9028,0.1042,0.7222,0.7214,0.725
h2o_20230430_174927,1,2,150,0.875,0.1083,0.8333,0.8286,0.875
h2o_20230430_182706,1,2,170,0.9028,0.0833,0.8889,0.8875,0.9091
h2o_20230430_191120,1,2,190,0.9306,0.1102,0.7222,0.7143,0.75
h2o_20230430_195852,1,2,210,0.8889,0.0977,0.9444,0.9443,0.95
h2o_20230430_200433,1,4,10,0.8333,0.0884,0.7222,0.7214,0.725
h2o_20230430_201231,1,4,30,0.8611,0.0751,0.7222,0.699,0.8214
h2o_20230430_202419,1,4,50,0.8889,0.0751,0.7778,0.775,0.7922
h2o_20230430_204044,1,4,70,0.9167,0.0884,0.7778,0.775,0.7922
h2o_20230430_210129,1,4,90,0.8889,0.0751,0.7778,0.775,0.7922
